company,company_location,review_date,country_of_bean_origin,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,company_latitude,company_longitude,origin_latitude,origin_longitude
AMMA,Brazil,2010,Brazil,60.0,4.0,4,1,0,1,0,1,0,creamy,-14.235004,-51.92528,-14.235004,-51.92528
AMMA,Brazil,2010,Brazil,50.0,3.75,4,1,0,1,0,1,0,very sweet,-14.235004,-51.92528,-14.235004,-51.92528
AMMA,Brazil,2010,Brazil,75.0,3.75,4,1,0,1,0,1,0,roasty,-14.235004,-51.92528,-14.235004,-51.92528
AMMA,Brazil,2010,Brazil,85.0,2.75,4,1,0,1,0,1,0,creamy,-14.235004,-51.92528,-14.235004,-51.92528
AMMA,Brazil,2013,Brazil,75.0,3.25,4,1,0,1,0,1,0,grainy,-14.235004,-51.92528,-14.235004,-51.92528
Anahata,Us,2014,Dominican Republic,75.0,3.0,2,0,0,0,0,1,0,chalky,37.09024,-95.712891,18.735693,-70.162651
Animas,Us,2016,Bolivia,75.0,3.5,2,0,0,0,0,1,0,light roast,37.09024,-95.712891,-16.290154,-63.588653
Ara,France,2014,Madagascar,75.0,3.0,3,1,0,0,0,1,0,sandy,46.227638,2.213749,-18.766947,46.869107
Ara,France,2014,Venezuela,75.0,3.0,3,1,0,0,0,1,0,nutty,46.227638,2.213749,6.42375,-66.58973
Ara,France,2014,Ecuador,75.0,2.75,3,1,0,0,0,1,0,bitter,46.227638,2.213749,-1.831239,-78.183406
Ara,France,2014,Mexico,72.0,2.5,3,1,0,0,0,1,0,earthy,46.227638,2.213749,23.634501,-102.552784
Arete,Us,2015,Nicaragua,70.0,4.0,2,0,0,0,0,1,0,creamy,37.09024,-95.712891,12.865416,-85.207229
Arete,Us,2015,Ecuador,70.0,3.75,2,0,0,0,0,1,0,spicy,37.09024,-95.712891,-1.831239,-78.183406
Arete,Us,2015,Belize,70.0,3.75,2,0,0,0,0,1,0,floral,37.09024,-95.712891,17.189877,-88.49765
Arete,Us,2015,Brazil,70.0,3.5,2,0,0,0,0,1,0,creamy,37.09024,-95.712891,-14.235004,-51.92528
Arete,Us,2015,Peru,68.0,3.5,2,0,0,0,0,1,0,floral,37.09024,-95.712891,-9.189967,-75.015152
Arete,Us,2015,Dominican Republic,70.0,3.5,2,0,0,0,0,1,0,spicy,37.09024,-95.712891,18.735693,-70.162651
Arete,Us,2015,Ecuador,75.0,3.5,3,1,0,0,0,1,0,intense,37.09024,-95.712891,-1.831239,-78.183406
Arete,Us,2015,Guatemala,70.0,3.25,2,0,0,0,0,1,0,strawberry,37.09024,-95.712891,15.783471,-90.230759
Arete,Us,2015,Brazil,75.0,2.75,2,0,0,0,0,1,0,floral,37.09024,-95.712891,-14.235004,-51.92528
Arete,Us,2016,Costa Rica,70.0,4.0,2,0,0,0,0,1,0,balanced,37.09024,-95.712891,9.748917,-83.753428
Arete,Us,2016,Peru,70.0,4.0,2,0,0,0,0,1,0,creamy,37.09024,-95.712891,-9.189967,-75.015152
Arete,Us,2016,Tanzania,70.0,3.75,2,0,0,0,0,1,0,appealing smoke,37.09024,-95.712891,-6.369028,34.888822
Arete,Us,2016,Nicaragua,70.0,3.75,3,1,0,0,0,1,0,muddy,37.09024,-95.712891,12.865416,-85.207229
Arete,Us,2016,Dominican Republic,70.0,3.75,2,0,0,0,0,1,0,dark berry,37.09024,-95.712891,18.735693,-70.162651
Arete,Us,2016,Trinidad And Tobago,70.0,3.5,2,0,0,0,0,1,0,delicate,37.09024,-95.712891,10.691803,-61.222503
Arete,Us,2016,Vietnam,73.0,3.5,3,1,0,0,0,1,0,cashew,37.09024,-95.712891,14.058324,108.277199
Arete,Us,2016,Guatemala,70.0,3.5,2,0,0,0,0,1,0,subtle,37.09024,-95.712891,15.783471,-90.230759
Arete,Us,2016,Honduras,70.0,3.5,2,0,0,0,0,1,0,nutty,37.09024,-95.712891,15.199999,-86.241905
Arete,Us,2016,Ecuador,70.0,3.25,3,1,0,0,0,1,0,sticky,37.09024,-95.712891,-1.831239,-78.183406
Arete,Us,2016,Ecuador,70.0,3.25,3,1,0,0,0,1,0,chewy,37.09024,-95.712891,-1.831239,-78.183406
Arete,Us,2016,Fiji,70.0,3.25,2,0,0,0,0,1,0,smoke,37.09024,-95.712891,-16.578193,179.414413
Arete,Us,2016,Vietnam,73.0,3.25,2,0,0,0,0,1,0,earthy,37.09024,-95.712891,14.058324,108.277199
Arete,Us,2017,Bolivia,70.0,4.0,2,0,0,0,0,1,0,creamy,37.09024,-95.712891,-16.290154,-63.588653
Arete,Us,2017,Haiti,70.0,4.0,2,0,0,0,0,1,0,long lasting,37.09024,-95.712891,18.971187,-72.285215
Arete,Us,2017,India,70.0,3.5,2,0,0,0,0,1,0,slight roasty,37.09024,-95.712891,20.593684,78.96288
Arete,Us,2017,Madagascar,70.0,3.5,3,1,0,0,0,1,0,sour fruit,37.09024,-95.712891,-18.766947,46.869107
Arete,Us,2017,Vietnam,73.0,3.5,3,1,0,0,0,1,0,rich cocoa,37.09024,-95.712891,14.058324,108.277199
Arete,Us,2017,Peru,70.0,3.5,3,1,0,0,0,1,0,dried fruit,37.09024,-95.712891,-9.189967,-75.015152
Arete,Us,2018,Colombia,70.0,4.0,2,0,0,0,0,1,0,smooth,37.09024,-95.712891,4.570868,-74.297333
Arete,Us,2018,Trinidad And Tobago,70.0,3.0,2,0,0,0,0,1,0,nuts,37.09024,-95.712891,10.691803,-61.222503
Arete,Us,2019,India,70.0,3.25,3,1,0,0,0,1,0,herbs,37.09024,-95.712891,20.593684,78.96288
Arete,Us,2019,India,70.0,3.0,3,1,0,0,0,1,0,burn butterscotch,37.09024,-95.712891,20.593684,78.96288
Argencove,Nicaragua,2018,Nicaragua,70.0,3.5,2,0,0,0,0,1,0,smooth,12.865416,-85.207229,12.865416,-85.207229
Argencove,Nicaragua,2018,Nicaragua,70.0,3.5,2,0,0,0,0,1,0,roasty,12.865416,-85.207229,12.865416,-85.207229
Argencove,Nicaragua,2018,Nicaragua,70.0,3.25,2,0,0,0,0,1,0,melon,12.865416,-85.207229,12.865416,-85.207229
Argencove,Nicaragua,2018,Nicaragua,70.0,3.0,2,0,0,0,0,1,0,cocoa,12.865416,-85.207229,12.865416,-85.207229
Artisan du Chocolat,Uk,2008,Congo,72.0,3.75,3,1,0,0,0,1,0,spicy,55.378051,-3.435973,,
Artisan du Chocolat,Uk,2009,Dominican Republic,72.0,3.25,3,1,0,0,0,1,0,spice,55.378051,-3.435973,18.735693,-70.162651
Artisan du Chocolat,Uk,2009,Madagascar,80.0,3.0,3,1,0,0,0,1,0,sl. bitter,55.378051,-3.435973,-18.766947,46.869107
Artisan du Chocolat,Uk,2009,Peru,75.0,3.0,3,1,0,0,0,1,0,spicey,55.378051,-3.435973,-9.189967,-75.015152
Artisan du Chocolat,Uk,2009,Indonesia,72.0,2.75,3,1,0,0,0,1,0,gritty,55.378051,-3.435973,-0.789275,113.921327
Artisan du Chocolat,Uk,2009,Venezuela,75.0,2.5,3,1,0,0,0,1,0,oily,55.378051,-3.435973,6.42375,-66.58973
Artisan du Chocolat,Uk,2009,Brazil,72.0,1.75,3,1,0,0,0,1,0,cocoa,55.378051,-3.435973,-14.235004,-51.92528
Artisan du Chocolat,Uk,2010,Jamaica,72.0,3.75,3,1,0,0,0,1,0,grassy,55.378051,-3.435973,18.109581,-77.297508
Artisan du Chocolat,Uk,2010,Indonesia,72.0,3.5,3,1,0,0,0,1,0,black pepper and banana,55.378051,-3.435973,-0.789275,113.921327
Artisan du Chocolat,Uk,2010,Costa Rica,72.0,3.25,3,1,0,0,0,1,0,chewy,55.378051,-3.435973,9.748917,-83.753428
